Sample,Light Condition,Time of Day,Relative G.E.,Sex,Status
LD-1,light,day,2.582027915,M,old
LD-2,light,day,2.411118603,M,old
LD-3,light,day,2.620149942,M,old
LD-4,light,day,0.657714607,F,old
LD-5,light,day,0.386660469,F,old
LD-6,light,day,0.481564317,F,new
LD-7,light,day,0.981491652,F,new
LD-8,light,day,0.614278039,F,new
LD-9,light,day,0.498131114,M,new
LD-10,light,day,0.914862922,M,new
LD-11,light,day,1.037375909,M,new
LN-1,light,night,1.238703318,M,old
LN-2,light,night,1.30647414,M,old
LN-3,light,night,0.422074831,F,old
LN-4,light,night,1.295709203,F,old
LN-5,light,night,1.129886664,F,old
LN-6,light,night,0.626507604,M,new
LN-7,light,night,0.534341949,M,new
LN-8,light,night,0.740740185,M,new
LN-9,light,night,0.521339102,M,new
LN-10,light,night,0.372747566,F,new
LN-11,light,night,0.613038159,F,new
DD-1,dark,day,0.592145383,F,old
DD-2,dark,day,0.372116404,F,old
DD-3,dark,day,0.42384915,F,old
DD-4,dark,day,1.538081404,M,old
DD-5,dark,day,1.073217934,M,old
DD-6,dark,day,0.888731061,M,old
DN-1,dark,night,0.683898854,M,old
DN-2,dark,night,0.558612682,M,old
DN-3,dark,night,0.581203469,M,old
DN-4,dark,night,0.163329615,F,old
DN-5,dark,night,0.376861313,F,old
