Sample,Light Condition,Time of Day,Relative G.E.,Sex
LD-1,light,day,2.582027915,M
LD-2,light,day,2.411118603,M
LD-3,light,day,2.620149942,M
LD-4,light,day,0.657714607,F
LD-5,light,day,0.386660469,F
LN-1,light,night,1.238703318,M
LN-2,light,night,1.30647414,M
LN-3,light,night,0.422074831,F
LN-4,light,night,1.295709203,F
LN-5,light,night,1.129886664,F
DD-1,dark,day,0.592145383,F
DD-2,dark,day,0.372116404,F
DD-3,dark,day,0.42384915,F
DD-4,dark,day,1.538081404,M
DD-5,dark,day,1.073217934,M
DD-6,dark,day,0.888731061,M
DN-1,dark,night,0.683898854,M
DN-2,dark,night,0.558612682,M
DN-3,dark,night,0.581203469,M
DN-4,dark,night,0.163329615,F
DN-5,dark,night,0.376861313,F
