Sample,RelativeGE,Sex,Hour,Time,Light
12am-1,2.295149265,M,12am,night,dark
12am-2,1.008338475,F,12am,night,dark
12am-3,2.571808898,F,12am,night,dark
12am-4,0.792885398,F,12am,night,dark
12am-5,0.876012168,M,12am,night,dark
12am-6,0.872131928,M,12am,night,dark
12am-7,3.818351523,M,12am,night,dark
12am-8,0.574600533,M,12am,night,dark
12am-9,0.827759695,M,12am,night,dark
4pm-1,0.990735105,F,4pm,day,light
4pm-2,2.35495657,F,4pm,day,light
4pm-3,1.240446603,F,4pm,day,light
4pm-4,0.760574308,M,4pm,day,light
4pm-5,0.942724225,M,4pm,day,light
4pm-6,1.029205448,M,4pm,day,light
4pm-7,0.732839888,M,4pm,day,light
4pm-8,0.997161868,M,4pm,day,light
4pm-9,1.755733154,M,4pm,day,light
8am-1,1.752264967,M,8am,day,light
8am-2,1.250984854,F,8am,day,light
8am-3,0.874285428,F,8am,day,light
8am-4,1.684253255,F,8am,day,light
8am-5,0.700894945,M,8am,day,light
8am-6,0.922216258,M,8am,day,light
8am-7,0.750929535,M,8am,day,light
8am-8,1.002155133,M,8am,day,light
8am-9,0.636894783,M,8am,day,light
LD-1,4.983424098,M,12pm,day,light
LD-10,0.548348448,F,12pm,day,light
LD-11,0.898584361,F,12pm,day,light
LD-6,0.919480558,M,12pm,day,light
LD-7,0.78535344,M,12pm,day,light
LD-8,1.084325525,M,12pm,day,light
LD-9,0.766956625,M,12pm,day,light
LN-10,1.336327468,M,1am,night,light
LN-11,1.509240366,M,1am,night,light
LN-6,0.709166842,F,1am,night,light
LN-7,1.425734245,F,1am,night,light
LN-8,0.901036891,F,1am,night,light
LN-9,0.729637235,M,1am,night,light
