Sample,RelativeGE,Sex,Hour,Time,Light
12am-1,2.362677261,M,12am,night,dark
12am-2,0.697655287,F,12am,night,dark
12am-3,1.784858546,F,12am,night,dark
12am-4,0.546746021,F,12am,night,dark
12am-5,1.396354044,M,12am,night,dark
12am-6,1.390050107,M,12am,night,dark
12am-7,3.805712498,M,12am,night,dark
12am-8,0.564975131,M,12am,night,dark
12am-9,0.816029206,M,12am,night,dark
4pm-1,1.014136625,F,4pm,day,light
4pm-2,1.634257686,F,4pm,day,light
4pm-3,0.857460099,F,4pm,day,light
4pm-4,0.525027618,M,4pm,day,light
4pm-5,1.504520901,M,4pm,day,light
4pm-6,1.643641548,M,4pm,day,light
4pm-7,0.721919762,M,4pm,day,light
4pm-8,0.984641404,M,4pm,day,light
4pm-9,1.74202767,M,4pm,day,light
8am-1,1.470947344,M,8am,day,light
8am-2,1.287721359,F,8am,day,light
8am-3,0.602368454,F,8am,day,light
8am-4,1.165095549,F,8am,day,light
8am-5,1.116741489,M,8am,day,light
8am-6,1.471270645,M,8am,day,light
8am-7,0.738911986,M,8am,day,light
8am-8,0.988135937,M,8am,day,light
8am-9,0.627050595,M,8am,day,light
DD-1,11.56203994,F,12pm,day,dark
DD-2,7.352176769,F,12pm,day,dark
DD-3,8.334666454,F,12pm,day,dark
DD-4,29.32897819,M,12pm,day,dark
DD-5,20.68291345,M,12pm,day,dark
DD-6,17.20079024,M,12pm,day,dark
DN-1,13.31646042,M,1am,night,dark
DN-2,10.94360726,M,1am,night,dark
DN-3,11.36341047,M,1am,night,dark
DN-4,3.253193694,F,1am,night,dark
DN-5,7.442541917,F,1am,night,dark
LD-1,12.62054235,M,12pm,day,light
LD-10,0.555331349,F,12pm,day,light
LD-11,0.911797614,F,12pm,day,light
LD-2,45.54376722,M,12pm,day,light
LD-3,49.41573957,M,12pm,day,light
LD-4,12.85132069,F,12pm,day,light
LD-5,7.650410546,F,12pm,day,light
LD-6,0.932636763,M,12pm,day,light
LD-7,0.796016929,M,12pm,day,light
LD-8,1.101066745,M,12pm,day,light
LD-9,0.777098635,M,12pm,day,light
LN-1,23.84478556,M,1am,night,light
LN-10,1.35836369,M,1am,night,light
LN-11,1.536473641,M,1am,night,light
LN-2,25.1215455,M,1am,night,light
LN-3,8.350839541,F,1am,night,light
LN-4,24.91422873,F,1am,night,light
LN-5,21.79892668,F,1am,night,light
LN-6,0.71821444,F,1am,night,light
LN-7,1.452097533,F,1am,night,light
LN-8,0.91407193,F,1am,night,light
LN-9,0.74031862,M,1am,night,light
