Time,Sample,Relative GE,Sex
8am,1,1.777941456,M
8am,2,1.263300091,F
8am,3,0.771882017,F
8am,4,1.478639343,F
8am,5,0.9126329,M
8am,6,1.19735909,M
8am,7,0.680363842,M
8am,8,0.906073215,M
8am,9,0.579078956,M
4pm,1,1.06374483,F
4pm,2,2.064665994,F
4pm,3,1.093551744,F
4pm,4,0.674801226,M
4pm,5,1.224115668,M
4pm,6,1.335643976,M
4pm,7,0.665247828,M
4pm,8,0.903397514,M
4pm,9,1.585776507,M
12am,1,1.892871033,M
12am,2,0.89313585,F
12am,3,2.251640136,F
12am,4,0.701963879,F
12am,5,1.137034629,M
12am,6,1.131952528,M
12am,7,3.42471427,M
12am,8,0.522419332,M
12am,9,0.750622186,M
