Mouse,Light,Time,ChAT,Bendo,Percentage,Sex,Age,GCLchat,GCLbendo,INLchat,INLbendo
11,light,day,10016,555,5.541134185,F,95,4427,139,5589,416
5,light,day,3659,281,7.679693905,M,141,1646,124,2013,157
32,light,day,5954,344,5.777628485,M,65,2722,150,3232,194
57,dark,night,5557,567,10.20334713,F,54,2474,173,3083,394
47,dark,night,9508,1489,15.66049642,F,97,4374,385,5134,1104
20,dark,night,10974,1347,12.27446692,F,122,5088,272,5886,1075
31,dark,day,9245,2112,22.84478096,M,70,4515,537,4730,1575
34,dark,day,8700,1510,17.35632184,F,70,4113,505,4587,1005
97,dark,day,9686,1298,13.40078464,M,74,4373,462,5313,836
92,light,night,9487,1848,19.47928745,F,96,4221,501,5266,1347
44,light,night,10228,1552,15.17403207,M,41,4986,465,5242,1087
93,light,night,6810,573,8.414096916,F,96,3138,225,3672,348
