Sample,Genotype,Tissue,RelativeGE
WT1-R,WT,retina,1.214488781
WT2-R,WT,retina,0.792781736
WT3-R,WT,retina,1.074786975
WT4-R,WT,retina,0.966341123
WT5-R,WT,retina,0.417263697
McKO1-R,McKO,retina,0.451698282
McKO2-R,McKO,retina,0.447411367
McKO3-R,McKO,retina,0.437047448
McKO4-R,McKO,retina,0.400368463
McKO5-R,McKO,retina,0.505331971
WT1-H,WT,hypothalamus,16.67912494
WT2-H,WT,hypothalamus,14.23659194
WT3-H,WT,hypothalamus,12.56869308
WT4-H,WT,hypothalamus,11.98656158
WT5-H,WT,hypothalamus,4.727292697
McKO1-H,McKO,hypothalamus,11.59040734
McKO2-H,McKO,hypothalamus,11.96928583
McKO3-H,McKO,hypothalamus,13.62723968
McKO4-H,McKO,hypothalamus,15.51221372
McKO5-H,McKO,hypothalamus,10.60929018
