ZT,TimeDay,Wake,PS,SWS,Artifact,Genotype,Transmitter,Day
12, 18:00:00-18:30:00 ,24.8,0.5,4.7,0.0,McKO,1113216,0
12, 18:30:00-19:00:00 ,17.2,0.0,12.8,0.0,McKO,1113216,0
13, 19:00:00-19:30:00 ,20.0,2.3,7.7,0.0,McKO,1113216,0
13, 19:30:00-20:00:00 ,3.7,0.7,25.7,0.0,McKO,1113216,0
14, 20:00:00-20:30:00 ,19.8,2.0,8.2,0.0,McKO,1113216,0
14, 20:30:00-21:00:00 ,14.8,0.2,15.0,0.0,McKO,1113216,0
15, 21:00:00-21:30:00 ,25.0,0.3,4.7,0.0,McKO,1113216,0
15, 21:30:00-22:00:00 ,11.5,1.2,17.3,0.0,McKO,1113216,0
16, 22:00:00-22:30:00 ,16.0,0.2,13.8,0.0,McKO,1113216,0
16, 22:30:00-23:00:00 ,13.0,1.8,15.2,0.0,McKO,1113216,0
17, 23:00:00-23:30:00 ,25.0,2.0,2.8,0.2,McKO,1113216,0
17, 23:30:00-0:00:00 ,23.3,1.7,5.0,0.0,McKO,1113216,0
18, 0:00:00-0:30:00 ,5.8,1.3,22.8,0.0,McKO,1113216,1
18, 0:30:00-1:00:00 ,14.0,1.0,15.0,0.0,McKO,1113216,1
19, 1:00:00-1:30:00 ,8.5,1.3,20.2,0.0,McKO,1113216,1
19, 1:30:00-2:00:00 ,15.5,0.5,14.0,0.0,McKO,1113216,1
20, 2:00:00-2:30:00 ,26.5,2.0,1.5,0.0,McKO,1113216,1
20, 2:30:00-3:00:00 ,24.8,1.2,4.0,0.0,McKO,1113216,1
21, 3:00:00-3:30:00 ,27.0,1.3,1.5,0.2,McKO,1113216,1
21, 3:30:00-4:00:00 ,9.5,2.0,18.5,0.0,McKO,1113216,1
22, 4:00:00-4:30:00 ,8.3,2.2,19.5,0.0,McKO,1113216,1
22, 4:30:00-5:00:00 ,27.7,1.2,1.2,0.0,McKO,1113216,1
23, 5:00:00-5:30:00 ,12.0,1.2,16.8,0.0,McKO,1113216,1
23, 5:30:00-6:00:00 ,9.8,2.2,18.0,0.0,McKO,1113216,1
0, 6:00:00-6:30:00 ,19.5,1.2,9.3,0.0,McKO,1113216,1
0, 6:30:00-7:00:00 ,0.5,2.7,26.8,0.0,McKO,1113216,1
1, 7:00:00-7:30:00 ,0.7,1.2,28.2,0.0,McKO,1113216,1
1, 7:30:00-8:00:00 ,6.2,1.2,22.7,0.0,McKO,1113216,1
2, 8:00:00-8:30:00 ,1.2,1.5,27.3,0.0,McKO,1113216,1
2, 8:30:00-9:00:00 ,0.5,0.5,29.0,0.0,McKO,1113216,1
3, 9:00:00-9:30:00 ,7.3,1.2,21.5,0.0,McKO,1113216,1
3, 9:30:00-10:00:00 ,2.2,2.5,25.3,0.0,McKO,1113216,1
4, 10:00:00-10:30:00 ,3.0,2.2,24.8,0.0,McKO,1113216,1
4, 10:30:00-11:00:00 ,18.8,3.2,7.8,0.2,McKO,1113216,1
5, 11:00:00-11:30:00 ,1.2,1.3,27.5,0.0,McKO,1113216,1
5, 11:30:00-12:00:00 ,0.5,2.3,27.2,0.0,McKO,1113216,1
6, 12:00:00-12:30:00 ,0.5,2.5,27.0,0.0,McKO,1113216,1
6, 12:30:00-13:00:00 ,1.3,2.5,26.2,0.0,McKO,1113216,1
7, 13:00:00-13:30:00 ,9.2,2.7,18.2,0.0,McKO,1113216,1
7, 13:30:00-14:00:00 ,0.2,1.8,28.0,0.0,McKO,1113216,1
8, 14:00:00-14:30:00 ,0.0,1.3,28.7,0.0,McKO,1113216,1
8, 14:30:00-15:00:00 ,0.5,2.2,27.3,0.0,McKO,1113216,1
9, 15:00:00-15:30:00 ,2.7,1.5,25.8,0.0,McKO,1113216,1
9, 15:30:00-16:00:00 ,14.0,4.8,11.2,0.0,McKO,1113216,1
10, 16:00:00-16:30:00 ,10.7,1.5,17.5,0.3,McKO,1113216,1
10, 16:30:00-17:00:00 ,0.3,0.0,29.7,0.0,McKO,1113216,1
11, 17:00:00-17:30:00 ,18.0,2.8,9.2,0.0,McKO,1113216,1
11, 17:30:00-18:00:00 ,8.3,1.0,20.5,0.0,McKO,1113216,1
12, 18:00:00-18:30:00 ,19.3,3.8,6.8,0,McKO,1113216,1
12, 18:30:00-19:00:00 ,5.0,3.8,21.2,0,McKO,1113216,1
13, 19:00:00-19:30:00 ,7.0,1.3,21.7,0,McKO,1113216,1
13, 19:30:00-20:00:00 ,25.7,2.2,2.2,0,McKO,1113216,1
14, 20:00:00-20:30:00 ,27.2,1.5,1.3,0,McKO,1113216,1
14, 20:30:00-21:00:00 ,3.0,0.5,26.5,0,McKO,1113216,1
15, 21:00:00-21:30:00 ,20.0,3.8,6.2,0,McKO,1113216,1
15, 21:30:00-22:00:00 ,14.2,1.3,14.5,0,McKO,1113216,1
16, 22:00:00-22:30:00 ,11.5,4.2,14.3,0,McKO,1113216,1
16, 22:30:00-23:00:00 ,24.0,3.2,2.8,0,McKO,1113216,1
17, 23:00:00-23:30:00 ,18.0,0.8,11.2,0,McKO,1113216,1
17, 23:30:00-0:00:00 ,11.3,3.8,14.8,0,McKO,1113216,1
18, 0:00:00-0:30:00 ,18.2,2.7,9.2,0,McKO,1113216,2
18, 0:30:00-1:00:00 ,27.7,2.2,0.2,0,McKO,1113216,2
19, 1:00:00-1:30:00 ,22.8,1.2,6.0,0,McKO,1113216,2
19, 1:30:00-2:00:00 ,1.8,3.3,24.8,0,McKO,1113216,2
20, 2:00:00-2:30:00 ,14.3,1.3,14.3,0,McKO,1113216,2
20, 2:30:00-3:00:00 ,5.7,1.2,23.2,0,McKO,1113216,2
21, 3:00:00-3:30:00 ,22.7,1.8,5.5,0,McKO,1113216,2
21, 3:30:00-4:00:00 ,6.7,1.8,21.5,0,McKO,1113216,2
22, 4:00:00-4:30:00 ,9.2,2.0,18.8,0,McKO,1113216,2
22, 4:30:00-5:00:00 ,16.2,2.3,11.3,0.2,McKO,1113216,2
